Año,Mes,Día,Fecha,Combustible,Consumo,Crecimiento Interanual,Categoría
2000,1,1,1/1/2000,Gasolina Súper,308156.82,,Gasolina Súper
2000,2,1,2/1/2000,Gasolina Súper,307766.31,,Gasolina Súper
2000,3,1,3/1/2000,Gasolina Súper,331910.29,,Gasolina Súper
2000,4,1,4/1/2000,Gasolina Súper,315648.08,,Gasolina Súper
2000,5,1,5/1/2000,Gasolina Súper,319667.97,,Gasolina Súper
2000,6,1,6/1/2000,Gasolina Súper,300347.7,,Gasolina Súper
2000,7,1,7/1/2000,Gasolina Súper,308305.93,,Gasolina Súper
2000,8,1,8/1/2000,Gasolina Súper,323011.86,,Gasolina Súper
2000,9,1,9/1/2000,Gasolina Súper,326455.72,,Gasolina Súper
2000,10,1,10/1/2000,Gasolina Súper,323843.63,,Gasolina Súper
2000,11,1,11/1/2000,Gasolina Súper,320788.08,,Gasolina Súper
2000,12,1,12/1/2000,Gasolina Súper,366987.56,,Gasolina Súper
2001,1,1,1/1/2001,Gasolina Súper,300242.78,-0.025681859,Gasolina Súper
2001,2,1,2/1/2001,Gasolina Súper,301483.4,-0.020414548,Gasolina Súper
2001,3,1,3/1/2001,Gasolina Súper,355572.83,0.071291975,Gasolina Súper
2001,4,1,4/1/2001,Gasolina Súper,355826.76,0.12728948,Gasolina Súper
2001,5,1,5/1/2001,Gasolina Súper,336040.04,0.05121586,Gasolina Súper
2001,6,1,6/1/2001,Gasolina Súper,308804.7,0.028157366,Gasolina Súper
2001,7,1,7/1/2001,Gasolina Súper,350501.97,0.136864186,Gasolina Súper
2001,8,1,8/1/2001,Gasolina Súper,348414.65,0.078643521,Gasolina Súper
2001,9,1,9/1/2001,Gasolina Súper,324393.96,-0.006315589,Gasolina Súper
2001,10,1,10/1/2001,Gasolina Súper,366261.63,0.130982969,Gasolina Súper
2001,11,1,11/1/2001,Gasolina Súper,351890.63,0.096956689,Gasolina Súper
2001,12,1,12/1/2001,Gasolina Súper,403561.63,0.099660245,Gasolina Súper
2002,1,1,1/1/2002,Gasolina Súper,368935.53,0.228790681,Gasolina Súper
2002,2,1,2/1/2002,Gasolina Súper,348917.79,0.157336656,Gasolina Súper
2002,3,1,3/1/2002,Gasolina Súper,385044.97,0.082886367,Gasolina Súper
2002,4,1,4/1/2002,Gasolina Súper,379741.98,0.067210291,Gasolina Súper
2002,5,1,5/1/2002,Gasolina Súper,375054.64,0.116101046,Gasolina Súper
2002,6,1,6/1/2002,Gasolina Súper,371138.59,0.20185538,Gasolina Súper
